OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
1,Mercy Azeta,AK,0.00,Quartz,150,6.15,6.75,922.50,1012.50,0.0000,1935.0000,12-05-2023
2,Mimi Lo,AL,4.00,Brick,140,3.95,4.50,553.00,630.00,47.3200,1230.3200,05-26-2024
3,Mimi Lo,IN,7.00,Tile,160,3.50,4.15,560.00,664.00,85.6800,1309.6800,10-31-2023
4,Maria Ozoa,AR,6.50,Slate,190,5.80,6.40,1102.00,1216.00,150.67000,2468.67000,12-12-2023
5,Maria Maria,CO,2.90,Travertine,200,5.90,6.50,1180.00,1300.00,71.92000,2551.92000,12-12-2023
6,Maria Boa,AZ,5.60,Slate,200,5.80,6.40,1160.00,1280.00,136.64000,2576.64000,12-12-2023
7,Maria Gonza,AZ,5.60,Slate,200,5.80,6.40,1160.00,1280.00,136.64000,2576.64000,12-12-2023
8,Mercy Zeze,CA,7.25,Slate,120,5.80,6.40,696.00,768.00,106.140000,1570.140000,12-01-2024
9,Mimi Chancla,CA,7.25,Bamboo,160,5.15,5.65,824.00,904.00,125.280000,1853.280000,12-12-2024
10,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-15-2023
11,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-15-2023
12,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-15-2023
13,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-15-2023
14,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-15-2023
15,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-15-2023
16,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
17,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
18,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
19,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
20,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
21,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
22,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
23,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
24,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
25,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
26,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
27,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
28,Customer 1,TX,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
29,Updated Customer,NY,4.45,Tile,200,3.50,4.15,700,830,66.25,1596.25,08-16-2023
30,Mimi Sos,CA,7.25,Sandstone,200,5.35,6.00,1070.00,1200.00,164.575000,2434.575000,12-10-2024
